,word,word_freq
0,covid,108323
1,case,20194
2,coronavirus,14184
3,death,9849
4,people,9285
5,pandemic,8071
6,mask,6488
7,health,5227
8,need,4963
9,positive,4875
10,today,4718
11,time,4700
12,total,4455
13,test,4401
14,india,4358
15,like,4147
16,help,4110
17,vaccine,3933
18,trump,3785
19,school,3768
20,state,3725
21,number,3716
22,last,3576
23,realdonaldtrump,3560
24,world,3446
25,country,3376
26,update,3361
27,news,3358
28,many,3261
29,know,3255
30,report,3226
31,august,2961
32,first,2953
33,reported,2910
34,spread,2870
35,virus,2821
36,lockdown,2771
37,take,2769
38,even,2745
39,still,2704
40,year,2703
41,home,2695
42,life,2679
43,work,2648
44,week,2634
45,government,2620
46,make,2608
47,back,2596
48,tested,2559
49,testing,2515
50,patient,2482
51,good,2481
52,business,2454
53,american,2414
54,going,2366
55,dont,2356
56,would,2353
57,want,2329
58,daily,2321
59,global,2316
60,please,2308
61,hospital,2275
62,million,2252
63,risk,2216
64,child,2149
65,care,2143
66,read,2136
67,could,2136
68,confirmed,2082
69,think,2070
70,face,2057
71,safe,2028
72,public,2027
73,recovery,2024
74,since,2006
75,keep,2002
76,month,1985
77,family,1974
78,latest,1964
79,corona,1961
80,look,1959
81,rate,1953
82,right,1942
83,data,1940
84,hour,1896
85,wear,1895
86,july,1852
87,support,1849
88,community,1813
89,student,1792
90,thing,1777
91,every,1769
92,social,1739
93,died,1715
94,well,1703
95,said,1689
96,great,1685
97,impact,1664
98,response,1646
99,active,1639
100,crisis,1625
101,also,1614
102,stay,1611
103,infection,1608
104,must,1596
105,stop,1567
106,show,1561
107,live,1535
108,much,1521
109,around,1518
110,come,1513
111,another,1509
112,recovered,1489
113,worker,1463
114,really,1434
115,part,1429
116,fight,1421
117,plan,1413
118,wearing,1412
119,everyone,1367
120,symptom,1367
121,watch,1351
122,china,1339
123,free,1334
124,tally,1325
125,check,1320
126,rise,1318
127,minister,1311
128,find,1300
129,important,1277
130,president,1269
131,video,1265
132,study,1257
133,taking,1252
134,change,1247
135,spike,1239
136,working,1238
137,getting,1234
138,best,1228
139,record,1216
140,join,1215
141,person,1210
142,result,1207
143,medical,1203
144,made,1197
145,give,1197
146,call,1196
147,economy,1191
148,next,1188
149,share,1183
150,online,1176
151,doctor,1175
152,quarantine,1172
153,never,1161
154,service,1159
155,woman,1158
156,official,1158
157,county,1157
158,start,1149
159,protect,1143
160,open,1139
161,better,1136
162,city,1132
163,medium,1114
164,team,1108
165,hand,1107
166,high,1106
167,sign,1098
168,across,1093
169,outbreak,1092
170,situation,1082
171,without,1080
172,local,1075
173,hope,1071
174,thanks,1060
175,thank,1055
176,cant,1050
177,love,1040
178,tell,1038
179,america,1036
180,healthcare,1031
181,including,1023
182,national,1022
183,place,1018
184,alert,1016
185,post,1013
186,amid,1002
187,leader,1001
188,long,1000
189,company,997
190,food,997
191,friend,996
192,expert,990
193,toll,989
194,staff,974
195,russia,973
196,follow,972
197,research,969
198,member,967
199,travel,965
200,system,961
201,article,958
202,challenge,958
203,breaking,955
204,south,953
205,contact,950
206,done,948
207,real,947
208,anyone,944
209,sure,941
210,continue,937
211,safety,925
212,measure,909
213,feel,909
214,mean,905
215,lost,905
216,yesterday,901
217,full,900
218,economic,899
219,learn,896
220,morning,883
221,looking,880
222,away,879
223,disease,879
224,thought,878
225,ever,874
226,level,871
227,issue,871
228,already,869
229,education,868
230,govt,865
231,increase,865
232,distancing,863
233,using,859
234,highest,853
235,story,853
236,coronaviruspandemic,851
237,blood,846
238,odisha,844
239,talk,843
240,second,841
241,dead,841
242,infected,836
243,young,835
244,slow,831
245,question,830
246,someone,826
247,district,825
248,making,822
249,order,816
250,future,811
251,lakh,806
252,control,805
253,treatment,801
254,used,786
255,industry,784
256,remember,783
257,coming,779
258,florida,778
259,others,765
260,available,764
261,police,761
262,africa,760
263,plasma,755
264,group,752
265,three,752
266,information,744
267,together,741
268,hard,733
269,close,733
270,human,731
271,mark,731
272,trial,731
273,teacher,730
274,fact,724
275,money,721
276,happy,721
277,coronavirusupdate,711
278,discus,710
279,parent,710
280,always,709
281,wearamask,708
282,believe,707
283,office,707
284,cross,703
285,enough,703
286,class,701
287,return,700
288,market,695
289,webinar,693
290,early,690
291,found,688
292,employee,687
293,restriction,687
294,canada,686
295,sample,683
296,chief,682
297,thousand,680
298,among,680
299,relief,678
300,announced,676
301,worldwide,675
302,election,673
303,past,671
304,able,667
305,negative,667
306,might,666
307,least,665
308,identify,662
309,point,662
310,problem,661
311,current,655
312,something,654
313,australia,652
314,become,651
315,trying,651
316,doesnt,647
317,fear,647
318,recorded,642
319,effect,641
320,closed,641
321,saturday,637
322,university,637
323,despite,637
324,action,636
325,cause,636
326,area,635
327,youre,632
328,save,629
329,college,628
330,thats,626
331,according,623
332,visit,620
333,seen,620
334,understand,619
335,especially,616
336,little,613
337,likely,611
338,science,611
339,protest,608
340,house,608
341,different,608
342,youtube,608
343,small,607
344,normal,604
345,event,603
346,texas,600
347,reopening,599
348,link,597
349,party,596
350,emergency,596
351,thread,594
352,following,592
353,soon,591
354,single,589
355,everything,588
356,sooner,587
357,learning,586
358,policy,586
359,stand,584
360,affected,583
361,play,582
362,provide,577
363,updated,575
364,type,574
365,effort,573
366,sarscov,573
367,almost,572
368,international,572
369,game,570
370,hear,570
371,fall,570
372,population,569
373,nothing,568
374,bill,568
375,united,567
376,sick,567
377,reason,567
378,centre,566
379,transmission,565
380,singleday,565
381,opportunity,565
382,demand,565
383,sunday,565
384,season,563
385,weekend,562
386,access,562
387,friday,561
388,saying,558
389,prevent,557
390,experience,557
391,virtual,554
392,continues,554
393,guideline,554
394,rule,553
